"rent","bedroom","livingroom","bathroom","area","room","floor_grp","subway","region","heating"
2390,5,2,2,14,"主卧","高楼层","是","朝阳","自采暖"
2730,4,1,1,20,"主卧","中楼层","是","通州","集中供暖"
2130,2,1,1,19,"主卧","中楼层","是","昌平","集中供暖"
2530,3,1,1,10,"主卧","中楼层","是","朝阳","自采暖"
2290,3,1,1,10,"次卧","中楼层","是","通州","集中供暖"
2830,2,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
2360,4,1,1,10,"主卧","低楼层","是","顺义","集中供暖"
4540,2,1,1,13,"次卧","中楼层","是","海淀","集中供暖"
2220,3,1,1,16,"主卧","高楼层","是","昌平","集中供暖"
2320,4,1,1,20,"主卧","低楼层","否","昌平","集中供暖"
2490,2,1,1,10,"主卧","低楼层","是","大兴","集中供暖"
2630,3,1,1,9,"次卧","低楼层","是","朝阳","自采暖"
2610,2,1,1,13,"主卧","低楼层","是","大兴","集中供暖"
2330,2,1,1,12,"主卧","中楼层","否","通州","集中供暖"
2690,3,1,1,12,"主卧","中楼层","是","丰台","集中供暖"
3270,2,1,1,13,"主卧","低楼层","否","朝阳","自采暖"
2930,3,1,1,10,"次卧","低楼层","否","朝阳","自采暖"
2670,4,1,1,18,"主卧","高楼层","否","通州","集中供暖"
1890,4,1,1,11,"主卧","中楼层","是","通州","集中供暖"
2990,2,1,1,14,"次卧","中楼层","是","石景山","集中供暖"
2620,3,1,1,13,"主卧","高楼层","是","昌平","集中供暖"
2900,2,1,1,15,"主卧","高楼层","是","朝阳","集中供暖"
2430,4,1,1,14,"次卧","中楼层","否","顺义","集中供暖"
2760,3,1,1,10,"次卧","低楼层","是","丰台","集中供暖"
2150,2,1,1,10,"次卧","中楼层","是","通州","集中供暖"
1840,4,1,1,13,"主卧","高楼层","否","顺义","集中供暖"
3000,3,1,1,7,"次卧","高楼层","是","朝阳","集中供暖"
2700,2,1,1,6,"次卧","高楼层","是","海淀","集中供暖"
2310,3,1,1,13,"主卧","中楼层","是","通州","集中供暖"
2200,2,1,1,12,"主卧","高楼层","是","通州","集中供暖"
2340,2,1,1,12,"主卧","高楼层","否","通州","集中供暖"
2540,4,1,1,13,"次卧","中楼层","是","朝阳","自采暖"
2840,2,1,1,12,"主卧","高楼层","是","昌平","集中供暖"
2270,3,1,1,13,"主卧","低楼层","是","朝阳","自采暖"
2360,4,1,2,13,"主卧","低楼层","是","大兴","集中供暖"
3370,4,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
2380,3,1,1,12,"次卧","中楼层","否","大兴","集中供暖"
2810,2,1,1,9,"主卧","高楼层","否","朝阳","自采暖"
2860,2,1,1,10,"次卧","中楼层","是","东城","集中供暖"
1720,4,1,1,12,"主卧","低楼层","是","房山","集中供暖"
2490,2,1,1,13,"主卧","高楼层","是","通州","集中供暖"
2390,2,1,1,11,"主卧","低楼层","否","大兴","集中供暖"
4180,3,1,1,10,"次卧","中楼层","是","海淀","集中供暖"
3130,3,1,1,13,"主卧","低楼层","是","朝阳","集中供暖"
3640,5,1,1,12,"次卧","低楼层","否","朝阳","集中供暖"
2130,3,1,1,14,"主卧","高楼层","是","通州","集中供暖"
2360,2,1,1,13,"次卧","中楼层","是","通州","自采暖"
2890,3,1,1,18,"主卧","中楼层","是","丰台","自采暖"
2490,3,1,1,9,"次卧","中楼层","是","昌平","集中供暖"
4450,2,1,1,16,"主卧","低楼层","是","海淀","集中供暖"
3380,4,1,1,21,"主卧","低楼层","是","朝阳","集中供暖"
1780,4,1,1,12,"主卧","高楼层","否","顺义","集中供暖"
2810,2,1,1,14,"主卧","低楼层","是","通州","自采暖"
2730,3,1,1,11,"次卧","高楼层","否","朝阳","集中供暖"
2680,3,1,1,13,"主卧","低楼层","是","大兴","集中供暖"
2430,2,1,1,10,"次卧","低楼层","是","通州","集中供暖"
2390,2,1,1,10,"主卧","高楼层","是","通州","集中供暖"
2820,4,1,1,12,"次卧","高楼层","是","朝阳","集中供暖"
2970,2,1,1,14,"主卧","中楼层","是","石景山","集中供暖"
2990,2,1,1,13,"主卧","低楼层","是","昌平","集中供暖"
2560,2,1,1,11,"次卧","低楼层","是","通州","集中供暖"
4130,3,1,1,12,"次卧","低楼层","是","朝阳","集中供暖"
2250,3,1,1,12,"次卧","低楼层","是","大兴","集中供暖"
2480,4,1,1,12,"次卧","高楼层","是","顺义","自采暖"
2240,2,1,1,10,"次卧","中楼层","是","通州","集中供暖"
2930,3,1,1,8,"次卧","低楼层","是","海淀","自采暖"
2430,4,1,1,9,"次卧","高楼层","是","昌平","集中供暖"
3130,4,1,1,11,"次卧","低楼层","是","朝阳","集中供暖"
2900,4,1,1,7,"次卧","中楼层","是","朝阳","集中供暖"
2990,4,1,1,8,"次卧","中楼层","是","朝阳","集中供暖"
1780,3,1,1,12,"主卧","低楼层","是","房山","自采暖"
3840,4,1,1,16,"主卧","中楼层","是","朝阳","集中供暖"
5040,5,1,1,27,"主卧","低楼层","是","朝阳","自采暖"
2500,2,1,1,9,"次卧","中楼层","是","石景山","集中供暖"
2160,2,1,1,15,"主卧","高楼层","是","昌平","集中供暖"
2770,3,1,1,10,"次卧","高楼层","是","朝阳","自采暖"
2760,3,1,1,14,"主卧","中楼层","是","朝阳","集中供暖"
2790,3,1,1,10,"次卧","中楼层","是","昌平","自采暖"
2430,2,1,1,15,"主卧","中楼层","否","昌平","集中供暖"
2830,2,1,1,11,"次卧","中楼层","是","顺义","集中供暖"
2260,3,1,1,10,"次卧","中楼层","是","石景山","集中供暖"
2280,2,1,1,10,"次卧","低楼层","是","通州","集中供暖"
2110,4,1,1,12,"次卧","中楼层","是","大兴","集中供暖"
2790,2,1,1,9,"主卧","低楼层","是","西城","集中供暖"
2330,2,1,1,12,"主卧","高楼层","否","大兴","集中供暖"
2430,4,1,1,17,"次卧","高楼层","是","通州","集中供暖"
2980,2,1,1,18,"主卧","中楼层","是","石景山","集中供暖"
2290,3,1,1,13,"次卧","低楼层","是","大兴","集中供暖"
2690,2,1,1,19,"主卧","低楼层","是","通州","集中供暖"
2560,4,1,1,14,"主卧","中楼层","否","通州","集中供暖"
2930,2,1,1,11,"主卧","高楼层","是","丰台","集中供暖"
3390,3,1,1,15,"主卧","低楼层","是","朝阳","集中供暖"
1860,3,1,1,12,"主卧","中楼层","是","顺义","集中供暖"
1990,2,1,1,10,"次卧","低楼层","是","大兴","集中供暖"
3040,2,1,1,15,"主卧","高楼层","是","石景山","集中供暖"
3170,3,1,1,7,"次卧","低楼层","是","朝阳","集中供暖"
3210,3,1,1,14,"主卧","中楼层","是","丰台","集中供暖"
2390,3,1,1,11,"次卧","高楼层","是","通州","集中供暖"
3540,4,1,1,14,"主卧","低楼层","是","朝阳","集中供暖"
3230,2,1,1,14,"主卧","低楼层","是","丰台","集中供暖"
2390,3,1,1,11,"次卧","高楼层","否","丰台","集中供暖"
2940,3,1,1,8,"次卧","高楼层","是","海淀","自采暖"
3000,2,1,1,19,"主卧","高楼层","是","通州","集中供暖"
2010,3,1,1,10,"次卧","中楼层","是","通州","集中供暖"
2360,2,1,1,15,"主卧","中楼层","是","大兴","集中供暖"
2200,3,1,1,9,"次卧","高楼层","是","大兴","自采暖"
2440,4,1,1,10,"次卧","高楼层","是","昌平","自采暖"
2930,4,1,1,13,"次卧","低楼层","是","丰台","集中供暖"
2840,3,1,1,19,"主卧","低楼层","否","通州","自采暖"
3640,3,1,1,12,"主卧","中楼层","是","朝阳","集中供暖"
2770,4,1,1,8,"次卧","高楼层","是","朝阳","集中供暖"
3340,4,1,1,16,"主卧","高楼层","是","丰台","集中供暖"
1840,3,1,1,16,"主卧","中楼层","否","昌平","集中供暖"
2670,2,1,1,9,"次卧","中楼层","是","朝阳","集中供暖"
2890,3,1,1,10,"次卧","低楼层","是","朝阳","集中供暖"
3160,2,1,1,19,"主卧","中楼层","是","丰台","集中供暖"
3130,3,1,1,12,"主卧","低楼层","是","海淀","自采暖"
2090,4,1,1,13,"次卧","低楼层","是","丰台","集中供暖"
2480,5,1,1,15,"次卧","低楼层","是","通州","集中供暖"
3280,3,1,1,15,"主卧","低楼层","是","昌平","集中供暖"
2790,3,1,1,7,"次卧","中楼层","是","朝阳","集中供暖"
2320,3,1,1,9,"主卧","中楼层","否","丰台","集中供暖"
2990,4,1,1,20,"主卧","高楼层","是","通州","集中供暖"
2790,3,1,1,11,"次卧","低楼层","是","昌平","集中供暖"
2290,3,1,1,10,"主卧","中楼层","是","石景山","集中供暖"
2360,4,1,1,11,"次卧","高楼层","是","顺义","集中供暖"
2400,4,1,1,13,"主卧","中楼层","否","丰台","集中供暖"
2300,3,1,1,10,"主卧","低楼层","是","大兴","集中供暖"
2590,3,1,1,11,"次卧","低楼层","是","丰台","集中供暖"
2660,2,1,1,14,"主卧","高楼层","是","通州","集中供暖"
2590,3,1,1,12,"次卧","中楼层","是","朝阳","集中供暖"
2130,4,1,1,11,"次卧","中楼层","是","朝阳","自采暖"
2300,2,1,1,8,"次卧","高楼层","是","通州","集中供暖"
3120,4,1,1,20,"主卧","低楼层","是","通州","集中供暖"
1970,5,1,1,10,"次卧","低楼层","是","顺义","集中供暖"
3150,2,1,1,14,"主卧","高楼层","是","石景山","集中供暖"
2030,2,1,1,12,"主卧","中楼层","是","大兴","集中供暖"
2560,3,1,1,12,"次卧","高楼层","是","通州","集中供暖"
3590,2,1,1,14,"主卧","高楼层","否","朝阳","集中供暖"
1990,3,1,1,11,"主卧","中楼层","否","大兴","集中供暖"
3150,2,1,1,18,"主卧","中楼层","是","石景山","集中供暖"
2510,3,1,1,13,"主卧","高楼层","是","通州","集中供暖"
4550,3,1,1,16,"次卧","高楼层","是","朝阳","自采暖"
2410,4,1,1,11,"次卧","低楼层","否","昌平","集中供暖"
2860,3,1,1,13,"主卧","中楼层","是","朝阳","自采暖"
2630,3,1,1,8,"次卧","高楼层","是","昌平","集中供暖"
4070,3,1,1,14,"主卧","中楼层","是","朝阳","集中供暖"
3440,4,1,1,17,"主卧","低楼层","是","丰台","集中供暖"
2720,4,1,1,12,"次卧","低楼层","是","丰台","集中供暖"
4610,2,1,1,8,"次卧","中楼层","是","海淀","集中供暖"
2460,2,1,1,21,"主卧","高楼层","是","通州","集中供暖"
4300,2,1,1,18,"主卧","低楼层","是","朝阳","集中供暖"
3340,2,1,1,17,"主卧","高楼层","是","石景山","集中供暖"
3040,3,1,1,10,"次卧","高楼层","是","海淀","自采暖"
2170,3,1,1,11,"次卧","中楼层","否","通州","集中供暖"
3070,4,1,1,15,"主卧","高楼层","否","昌平","集中供暖"
2070,4,1,1,7,"次卧","低楼层","是","顺义","集中供暖"
2630,4,1,1,7,"次卧","中楼层","否","海淀","自采暖"
2430,3,1,1,10,"次卧","低楼层","否","丰台","集中供暖"
3770,4,1,1,16,"主卧","中楼层","是","朝阳","集中供暖"
1960,3,1,1,11,"主卧","高楼层","是","通州","集中供暖"
2360,3,1,1,10,"次卧","低楼层","是","朝阳","自采暖"
3690,3,1,1,12,"主卧","低楼层","是","朝阳","集中供暖"
2660,2,1,1,15,"主卧","中楼层","是","通州","集中供暖"
2260,2,1,1,14,"次卧","中楼层","是","通州","集中供暖"
2530,2,1,1,13,"主卧","高楼层","是","大兴","集中供暖"
3130,2,1,1,14,"主卧","高楼层","是","石景山","集中供暖"
2360,5,1,2,8,"次卧","低楼层","是","海淀","自采暖"
1940,4,2,1,10,"次卧","高楼层","是","通州","集中供暖"
2960,3,1,1,12,"次卧","高楼层","是","海淀","自采暖"
1970,3,1,1,11,"次卧","低楼层","否","通州","集中供暖"
2190,3,1,1,10,"次卧","低楼层","是","朝阳","自采暖"
1790,3,1,1,13,"主卧","中楼层","是","房山","集中供暖"
2450,3,1,1,10,"次卧","低楼层","是","朝阳","自采暖"
2830,3,1,1,18,"主卧","低楼层","是","石景山","集中供暖"
2830,3,1,1,18,"次卧","低楼层","是","石景山","集中供暖"
2830,2,1,1,14,"主卧","高楼层","是","大兴","集中供暖"
2560,3,1,1,14,"主卧","低楼层","是","朝阳","自采暖"
2670,3,1,1,13,"主卧","低楼层","是","石景山","集中供暖"
2840,3,1,1,13,"次卧","中楼层","是","丰台","集中供暖"
3190,4,1,1,13,"次卧","中楼层","是","朝阳","集中供暖"
2230,3,1,1,10,"次卧","高楼层","是","丰台","自采暖"
2790,3,1,1,10,"次卧","高楼层","是","海淀","自采暖"
2390,3,1,1,10,"次卧","中楼层","是","朝阳","集中供暖"
2830,3,1,1,13,"次卧","高楼层","是","海淀","集中供暖"
2030,3,1,1,13,"次卧","中楼层","是","丰台","自采暖"
2940,4,1,1,16,"次卧","低楼层","是","朝阳","集中供暖"
2590,3,1,1,30,"主卧","中楼层","是","昌平","自采暖"
1840,4,1,1,13,"主卧","高楼层","是","房山","自采暖"
2200,2,1,1,19,"主卧","低楼层","是","昌平","集中供暖"
2410,4,1,1,10,"次卧","中楼层","是","昌平","集中供暖"
2290,3,1,1,14,"次卧","低楼层","是","通州","自采暖"
1590,5,1,1,6,"次卧","高楼层","是","顺义","集中供暖"
2560,2,1,1,17,"主卧","高楼层","是","大兴","集中供暖"
2260,4,1,1,10,"次卧","中楼层","是","顺义","集中供暖"
2340,2,1,1,9,"主卧","高楼层","是","大兴","自采暖"
3320,2,1,1,11,"次卧","低楼层","是","石景山","集中供暖"
3470,3,1,1,16,"主卧","高楼层","否","海淀","集中供暖"
2200,2,1,1,11,"主卧","低楼层","是","通州","集中供暖"
3060,2,1,1,16,"主卧","低楼层","是","通州","集中供暖"
2730,2,1,1,18,"主卧","低楼层","是","通州","集中供暖"
1610,3,1,1,15,"主卧","中楼层","是","房山","集中供暖"
2630,5,1,1,24,"主卧","低楼层","是","通州","集中供暖"
2170,2,1,1,10,"次卧","中楼层","是","通州","集中供暖"
1980,2,1,1,11,"次卧","高楼层","是","顺义","集中供暖"
3030,2,1,1,9,"次卧","低楼层","是","丰台","集中供暖"
2180,2,1,1,8,"次卧","中楼层","是","大兴","集中供暖"
3740,3,1,1,14,"次卧","低楼层","是","海淀","集中供暖"
3470,2,1,1,18,"主卧","低楼层","否","昌平","集中供暖"
1900,3,1,1,11,"次卧","低楼层","是","通州","自采暖"
2460,3,1,1,11,"主卧","中楼层","是","通州","集中供暖"
2140,2,1,1,8,"次卧","中楼层","是","通州","集中供暖"
1930,3,1,1,10,"次卧","低楼层","是","通州","集中供暖"
3690,2,1,1,18,"主卧","高楼层","是","昌平","自采暖"
2890,2,1,1,18,"主卧","中楼层","是","大兴","集中供暖"
2770,2,1,1,10,"主卧","低楼层","否","丰台","集中供暖"
2760,3,1,1,16,"主卧","中楼层","是","石景山","集中供暖"
2830,2,1,1,10,"次卧","中楼层","是","朝阳","自采暖"
3510,2,1,1,12,"次卧","高楼层","是","丰台","集中供暖"
2130,4,1,1,10,"次卧","中楼层","否","顺义","集中供暖"
1930,3,1,1,10,"主卧","低楼层","是","大兴","集中供暖"
2360,4,1,1,9,"次卧","高楼层","是","海淀","自采暖"
2390,4,1,1,10,"次卧","高楼层","是","昌平","自采暖"
2790,3,1,1,17,"次卧","高楼层","是","朝阳","集中供暖"
3720,2,1,1,10,"次卧","高楼层","是","朝阳","集中供暖"
2760,4,1,1,25,"主卧","低楼层","是","昌平","集中供暖"
3300,2,1,1,10,"次卧","低楼层","是","顺义","自采暖"
3420,4,1,2,21,"主卧","中楼层","否","东城","集中供暖"
2190,3,1,1,11,"次卧","低楼层","是","大兴","集中供暖"
2090,3,1,1,9,"主卧","中楼层","否","丰台","集中供暖"
2490,3,1,1,14,"主卧","中楼层","是","大兴","集中供暖"
2260,3,1,1,13,"主卧","中楼层","是","大兴","集中供暖"
2730,2,1,1,13,"次卧","高楼层","是","石景山","集中供暖"
2110,3,1,1,14,"主卧","高楼层","是","通州","集中供暖"
2090,3,1,1,18,"主卧","高楼层","是","顺义","集中供暖"
2700,2,1,1,12,"次卧","低楼层","是","通州","自采暖"
2830,2,1,1,14,"主卧","高楼层","是","朝阳","集中供暖"
2070,4,1,1,12,"次卧","高楼层","否","大兴","集中供暖"
2540,3,1,1,9,"次卧","中楼层","是","昌平","集中供暖"
3270,4,1,1,15,"主卧","高楼层","否","海淀","集中供暖"
2370,3,1,1,12,"次卧","高楼层","是","朝阳","自采暖"
2020,2,1,1,10,"次卧","低楼层","否","通州","集中供暖"
3570,4,1,1,16,"主卧","低楼层","是","海淀","集中供暖"
2660,4,1,1,8,"次卧","中楼层","否","海淀","集中供暖"
4090,2,1,1,13,"次卧","中楼层","是","西城","集中供暖"
3140,5,1,1,18,"主卧","低楼层","是","朝阳","自采暖"
4240,2,1,1,18,"主卧","高楼层","是","海淀","集中供暖"
2460,3,1,1,12,"次卧","中楼层","否","昌平","集中供暖"
2220,4,1,1,11,"次卧","低楼层","是","大兴","集中供暖"
3160,2,1,1,14,"主卧","中楼层","是","朝阳","集中供暖"
2190,3,1,1,12,"次卧","低楼层","是","大兴","集中供暖"
3260,3,1,1,14,"主卧","中楼层","是","朝阳","集中供暖"
1770,2,1,1,9,"次卧","高楼层","是","顺义","集中供暖"
4450,2,1,1,17,"主卧","高楼层","是","朝阳","集中供暖"
2910,3,1,1,8,"次卧","中楼层","是","海淀","自采暖"
3080,2,1,1,15,"主卧","低楼层","是","石景山","集中供暖"
2640,3,1,1,7,"次卧","中楼层","是","海淀","集中供暖"
3500,3,1,1,22,"主卧","低楼层","是","通州","集中供暖"
3440,3,1,1,7,"次卧","中楼层","是","朝阳","集中供暖"
2670,3,1,1,10,"次卧","高楼层","否","石景山","集中供暖"
3740,2,1,1,18,"主卧","低楼层","是","朝阳","集中供暖"
3470,4,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
4300,2,1,1,13,"次卧","中楼层","是","海淀","集中供暖"
1660,4,1,1,12,"主卧","低楼层","是","房山","集中供暖"
2470,2,1,1,13,"次卧","高楼层","是","丰台","集中供暖"
4030,3,1,1,24,"主卧","低楼层","是","通州","集中供暖"
2030,4,1,1,14,"主卧","高楼层","是","丰台","自采暖"
3120,4,1,1,12,"次卧","中楼层","是","朝阳","集中供暖"
2160,3,1,1,8,"次卧","高楼层","是","顺义","集中供暖"
2150,3,1,1,12,"次卧","低楼层","是","通州","集中供暖"
2490,2,1,1,8,"次卧","高楼层","是","丰台","集中供暖"
2590,3,1,1,9,"次卧","中楼层","是","丰台","集中供暖"
3040,2,1,1,15,"主卧","中楼层","是","石景山","集中供暖"
2530,3,1,1,7,"次卧","中楼层","是","朝阳","集中供暖"
2050,2,1,1,11,"次卧","低楼层","是","大兴","集中供暖"
2460,3,1,1,18,"主卧","中楼层","否","丰台","集中供暖"
1890,3,1,1,9,"次卧","中楼层","是","大兴","集中供暖"
2530,3,1,1,12,"主卧","高楼层","是","昌平","集中供暖"
2500,3,1,1,9,"次卧","低楼层","是","昌平","集中供暖"
3210,4,1,1,16,"主卧","高楼层","是","丰台","集中供暖"
2890,2,1,1,10,"次卧","中楼层","是","丰台","集中供暖"
3160,2,1,1,19,"主卧","中楼层","是","朝阳","集中供暖"
2090,3,1,1,12,"次卧","中楼层","是","通州","集中供暖"
2130,4,1,1,10,"次卧","中楼层","是","通州","集中供暖"
2690,3,1,1,19,"主卧","中楼层","是","顺义","集中供暖"
3490,2,1,1,17,"主卧","中楼层","是","朝阳","集中供暖"
1780,4,1,1,18,"次卧","高楼层","是","房山","自采暖"
4610,2,1,1,18,"主卧","中楼层","是","西城","集中供暖"
2260,3,1,1,14,"主卧","低楼层","是","顺义","集中供暖"
3630,2,1,1,17,"主卧","低楼层","是","西城","集中供暖"
1990,3,1,1,13,"主卧","中楼层","是","通州","集中供暖"
4410,3,1,1,11,"次卧","高楼层","是","朝阳","集中供暖"
2730,3,1,1,11,"次卧","高楼层","是","丰台","集中供暖"
3380,3,1,1,11,"主卧","中楼层","否","朝阳","集中供暖"
2260,3,1,1,11,"主卧","低楼层","否","通州","集中供暖"
2590,3,1,1,12,"次卧","高楼层","是","通州","集中供暖"
3090,2,1,1,13,"主卧","高楼层","是","丰台","集中供暖"
2830,2,1,1,14,"次卧","高楼层","是","昌平","集中供暖"
3130,2,1,1,19,"主卧","高楼层","是","石景山","集中供暖"
3260,3,1,1,12,"主卧","高楼层","是","东城","集中供暖"
2390,3,1,1,17,"主卧","高楼层","是","通州","集中供暖"
4370,2,1,1,19,"主卧","低楼层","是","朝阳","集中供暖"
4220,3,1,1,14,"主卧","低楼层","是","朝阳","自采暖"
3600,2,1,1,18,"主卧","中楼层","是","石景山","集中供暖"
3050,3,1,1,15,"主卧","高楼层","否","石景山","集中供暖"
3440,4,1,1,10,"次卧","高楼层","是","西城","集中供暖"
2740,2,1,1,12,"主卧","低楼层","是","大兴","集中供暖"
2040,3,1,1,13,"主卧","中楼层","否","昌平","集中供暖"
2040,4,1,1,8,"次卧","高楼层","否","丰台","集中供暖"
2060,4,1,1,8,"次卧","低楼层","否","丰台","集中供暖"
2090,4,1,1,6,"次卧","高楼层","否","丰台","集中供暖"
3890,4,1,1,20,"主卧","中楼层","是","朝阳","集中供暖"
3220,2,1,1,17,"主卧","低楼层","是","石景山","集中供暖"
3530,3,1,1,14,"次卧","高楼层","是","朝阳","集中供暖"
3790,2,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
2130,3,1,1,15,"主卧","中楼层","否","大兴","集中供暖"
2410,3,1,1,15,"主卧","高楼层","是","通州","集中供暖"
3700,3,1,1,15,"次卧","低楼层","是","朝阳","集中供暖"
3540,3,1,1,18,"主卧","高楼层","是","朝阳","集中供暖"
2000,2,1,1,10,"次卧","高楼层","否","通州","集中供暖"
3140,2,1,1,9,"次卧","中楼层","是","丰台","集中供暖"
2340,4,1,1,9,"次卧","中楼层","是","昌平","集中供暖"
3860,4,1,1,23,"主卧","高楼层","否","海淀","集中供暖"
3660,3,1,1,22,"主卧","低楼层","否","昌平","集中供暖"
3560,4,1,1,12,"次卧","高楼层","是","朝阳","集中供暖"
2840,3,1,1,16,"次卧","中楼层","是","朝阳","集中供暖"
2670,2,1,1,9,"次卧","低楼层","是","丰台","集中供暖"
2190,5,2,2,10,"次卧","高楼层","是","朝阳","集中供暖"
3040,4,2,1,12,"次卧","高楼层","否","海淀","集中供暖"
3660,2,1,1,15,"主卧","低楼层","是","朝阳","集中供暖"
3270,2,1,1,17,"主卧","中楼层","是","丰台","集中供暖"
1670,2,1,1,7,"主卧","低楼层","是","大兴","集中供暖"
3660,3,1,2,18,"主卧","中楼层","是","朝阳","自采暖"
2390,3,1,1,8,"次卧","低楼层","是","丰台","集中供暖"
3090,2,1,1,17,"主卧","高楼层","是","石景山","集中供暖"
3160,2,1,1,15,"主卧","中楼层","是","丰台","集中供暖"
3190,2,1,1,11,"主卧","高楼层","是","朝阳","集中供暖"
2960,3,1,1,21,"主卧","低楼层","是","昌平","集中供暖"
3260,3,1,1,14,"主卧","高楼层","否","海淀","集中供暖"
2990,2,1,1,19,"主卧","低楼层","是","石景山","集中供暖"
2630,3,1,1,10,"次卧","高楼层","是","丰台","集中供暖"
